strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Thailand/SI200615-NT/2020	EPI_ISL_437618	MT447160.1		Faculty of Medicine	Rodpan et al
Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Australia/QLDID922/2020	EPI_ISL_418799		Mater Pathology	Public Health Virology Laboratory	Bixing Huang et al
Lithuania/MR-LUHS-Eilnr90/2020	EPI_ISL_541875		Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine	Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology	Lukas Zemaitis et al
UnitedArabEmirates/skmc-0442954/2020	EPI_ISL_582610		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-2200543130/2020	EPI_ISL_582623		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-001/2020	EPI_ISL_582624		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-002/2020	EPI_ISL_582612		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
UnitedArabEmirates/skmc-004/2020	EPI_ISL_582613		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al
Wuhan/IME-WH05/2019	EPI_ISL_529217	MT291830.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
Wuhan/IME-WH04/2019	EPI_ISL_529216	MT291829.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Sweden/20-02114/2020	EPI_ISL_476139		Folkhalsomyndigheten	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al (https://dx.doi.org/10.1099/acmi.0.000133)
HongKong/VB20024950-2/2020	EPI_ISL_412029		Hong Kong Department of Health	The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/HKPU86-1802/2020	EPI_ISL_419249	MT232706.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU-00006/2020	EPI_ISL_2710816		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU84-2502/2020	EPI_ISL_419248	MT232705.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-200723-002/2020	EPI_ISL_497769		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU40-2801/2020	EPI_ISL_419215	MT232682.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU29_0102/2020	EPI_ISL_417187	MT232672.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Thailand/SI200478-NST/2020	EPI_ISL_437619	MT447159.1		Faculty of Medicine	Rodpan et al
HongKong/HKPU12_2201/2020	EPI_ISL_417179	MT232665.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Thailand/SI200893-NT/2020	EPI_ISL_437624	MT447154.1		Faculty of Medicine	Rodpan et al
Thailand/SI201712-NT/2020	EPI_ISL_437617	MT447161.1		Faculty of Medicine	Rodpan et al
Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW03/2020	EPI_ISL_408977		Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
Singapore/1/2020	EPI_ISL_406973		Singapore General Hospital	National Public Health Laboratory	Mak et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Thailand/NIH-15/2020	EPI_ISL_434692		Bamrasnaradura hospital	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/61/2020	EPI_ISL_403962		Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097)
Singapore/1nan/2020	EPI_ISL_482678		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Singapore/2nan/2020	EPI_ISL_482679		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Singapore/6nan/2020	EPI_ISL_482680		Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman et al
Cambodia/0012/2020	EPI_ISL_411902		Virology Unit, Institut Pasteur du Cambodge.	Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)	Erik A Karlsson et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Thailand/74/2020	EPI_ISL_403963		Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.8.2000097)
