strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Shanghai/SH0085/2020	EPI_ISL_416385		Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Wuhan/IPBCAMS-WH-02/2019	EPI_ISL_403931	MT019530.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
Wuhan/IVDC-HB-05/2019	EPI_ISL_402121		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al (https://dx.doi.org/10.1056/NEJMoa2001017)
Wuhan/YB012611/2020	EPI_ISL_450501	MT259227.1		CAS Key Laboratory of Special Pathogens and Biosafety and Center for Emerging Infectious Diseases	Si et al
Wuhan/WIV05/2019	EPI_ISL_402128	MN996529.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
USA/MA1/2020	EPI_ISL_409067	MT039888.1	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Clinton R. Paden et al (https://dx.doi.org/10.1101/2020.03.09.20032896)
USA/CA-CDC-3/2020	EPI_ISL_408008	MT027062.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar V et al (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
USA/WI1/2020	EPI_ISL_408670	MT039887.1	Wisconsin Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Jing Zhang et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Australia/VIC14/2020	EPI_ISL_419734		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Japan/PG-0285/2020	EPI_ISL_479964		Tokyo Metropolitan Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0016/2020	EPI_ISL_479800		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0015/2020	EPI_ISL_479799		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0096/2020	EPI_ISL_684121		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
Japan/PG-0073/2020	EPI_ISL_684110		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B
Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
