strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
Wuhan/IVDC-HB-GX02/2019	EPI_ISL_434534		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC, Yunnan Provincial CDC	Wenjie Tan et al
USA/CA-CDC-4/2020	EPI_ISL_408009	MT027063.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Wuhan/HB-WH3-186/2020	EPI_ISL_455381		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Thailand/SI200615-NT/2020	EPI_ISL_437618	MT447160.1		Faculty of Medicine	Rodpan et al
Singapore/165/2020	EPI_ISL_462283		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Sichuan/SC-NJ-091/2020	EPI_ISL_451340		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Wuhan/HB-WHCM-106/2020	EPI_ISL_455402		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Australia/SA0305/2020	EPI_ISL_468037		SA Pathology	SA Pathology	Lex Leong et al
Australia/VPRL014/2020	EPI_ISL_455603		SA Pathology	VPRL	Beard et al
Australia/SA0214/2020	EPI_ISL_468032		SA Pathology	SA Pathology	Lex Leong et al
Japan/PG-0033/2020	EPI_ISL_479803		Sagamihara City Public Health Research Institute	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0016/2020	EPI_ISL_479800		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0015/2020	EPI_ISL_479799		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
