strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
USA/CA-CDC-4/2020	EPI_ISL_408009	MT027063.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Wuhan/IVDC-HB-05/2019	EPI_ISL_402121		National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al A (https://dx.doi.org/10.1056/NEJMoa2001017)
Wuhan/IME-WH03/2019	EPI_ISL_529215	MT291828.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
Sichuan/SC-NC-067/2020	EPI_ISL_451327		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Australia/VIC14/2020	EPI_ISL_419734		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Japan/PG-1017/2020	EPI_ISL_684627		Tokyo Metropolitan Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A
Japan/PG-0016/2020	EPI_ISL_479800		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0015/2020	EPI_ISL_479799		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al B (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al A
Wuhan/IME-WH04/2019	EPI_ISL_529216	MT291829.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
Wuhan/IME-WH02/2019	EPI_ISL_529214	MT291827.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
HongKong/HKPU6_2101/2020	EPI_ISL_417178	MT232664.1	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Indonesia/JK-EIJK-2444/2020	EPI_ISL_435283		RS Pondok Indah Hospital – Pondok Indah	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Edison Johar et al
Indonesia/JK-EIJK-43/2020	EPI_ISL_568692		RS Kramat 128	Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation	Frilasita A Yudhaputri et al
Australia/WA34/2020	EPI_ISL_470851		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Australia/NT02/2020	EPI_ISL_419832		Royal Darwin Hospital	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Meumann et al
Australia/WA11/2020	EPI_ISL_420456		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al
Nepal/61/2020	EPI_ISL_410301	MT072688.1	National Influenza Centre, National Public Health Laboratory, Kathmandu, Nepal	The University of Hong Kong	Ranjit Sah et al (http://biorxiv.org/lookup/doi/10.1101/2020.04.01.019463)
Taiwan/2/2020	EPI_ISL_406031		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al (https://dx.doi.org/10.1099/acmi.0.000133)
Thailand/SI200383-NT/2020	EPI_ISL_437622	MT447156.1		Faculty of Medicine	Rodpan et al
Australia/VIC02/2020	EPI_ISL_416410		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
USA/CA2/2020	EPI_ISL_406036	MN994468.1	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
France/IDF-0372/2020	EPI_ISL_406596		Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
Sweden/01/2020	EPI_ISL_411951	MT093571.1	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
Sweden/20-02114/2020	EPI_ISL_476139		Folkhalsomyndigheten	The Public Health Agency of Sweden	Oskar Karlsson Lindsjo et al
Thailand/SI201712-NT/2020	EPI_ISL_437617	MT447161.1		Faculty of Medicine	Rodpan et al
Thailand/Samutprakarn_840/2020	EPI_ISL_447919			National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
HongKong/HKU-200723-004/2020	EPI_ISL_497771		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU-00042/2020	EPI_ISL_2710830		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU-00053/2020	EPI_ISL_2710820		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU76-0802/2020	EPI_ISL_419246	MT232703.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKU-200723-024/2020	EPI_ISL_497791		Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To et al
HongKong/HKPU33_0202/2020	EPI_ISL_417195	MT232676.1	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU-00043/2020	EPI_ISL_2710805		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
HongKong/HKPU-00041/2020	EPI_ISL_2710812		Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Department of Health Technology and Informatics, The Hong Kong Polytechnic University	Gilman Kit-Hang Siu et al
Singapore/7/2020	EPI_ISL_410713		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Australia/VIC03/2020	EPI_ISL_416411		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW03/2020	EPI_ISL_408977		Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)
