Strain	WindowStart	WindowEnd	FractionIdentical
MN996532_Bat_CoV_RaTG13	1	100	0.81
MN996532_Bat_CoV_RaTG13	31	130	0.97
MN996532_Bat_CoV_RaTG13	61	160	0.99
MN996532_Bat_CoV_RaTG13	91	190	0.97
MN996532_Bat_CoV_RaTG13	121	220	0.98
MN996532_Bat_CoV_RaTG13	151	250	0.98
MN996532_Bat_CoV_RaTG13	181	280	0.99
MN996532_Bat_CoV_RaTG13	211	310	1.0
MN996532_Bat_CoV_RaTG13	241	340	0.99
MN996532_Bat_CoV_RaTG13	271	370	0.99
MN996532_Bat_CoV_RaTG13	301	400	0.97
MN996532_Bat_CoV_RaTG13	331	430	0.98
MN996532_Bat_CoV_RaTG13	361	460	0.97
MN996532_Bat_CoV_RaTG13	391	490	0.98
MN996532_Bat_CoV_RaTG13	421	520	0.97
MN996532_Bat_CoV_RaTG13	451	550	0.95
MN996532_Bat_CoV_RaTG13	481	580	0.93
MN996532_Bat_CoV_RaTG13	511	610	0.92
MN996532_Bat_CoV_RaTG13	541	640	0.92
MN996532_Bat_CoV_RaTG13	571	670	0.96
MN996532_Bat_CoV_RaTG13	601	700	0.96
MN996532_Bat_CoV_RaTG13	631	730	0.98
MN996532_Bat_CoV_RaTG13	661	760	0.98
MN996532_Bat_CoV_RaTG13	691	790	0.97
MN996532_Bat_CoV_RaTG13	721	820	0.96
MN996532_Bat_CoV_RaTG13	751	850	0.96
MN996532_Bat_CoV_RaTG13	781	880	0.97
MN996532_Bat_CoV_RaTG13	811	910	0.99
MN996532_Bat_CoV_RaTG13	841	940	0.98
MN996532_Bat_CoV_RaTG13	871	970	0.96
MN996532_Bat_CoV_RaTG13	901	1000	0.96
MN996532_Bat_CoV_RaTG13	931	1030	0.96
MN996532_Bat_CoV_RaTG13	961	1060	0.98
MN996532_Bat_CoV_RaTG13	991	1090	0.97
MN996532_Bat_CoV_RaTG13	1021	1120	0.95
MN996532_Bat_CoV_RaTG13	1051	1150	0.95
MN996532_Bat_CoV_RaTG13	1081	1180	0.97
MN996532_Bat_CoV_RaTG13	1111	1210	0.99
MN996532_Bat_CoV_RaTG13	1141	1240	0.99
MN996532_Bat_CoV_RaTG13	1172	1271	0.98
MN996532_Bat_CoV_RaTG13	1202	1301	0.98
MN996532_Bat_CoV_RaTG13	1232	1331	0.96
MN996532_Bat_CoV_RaTG13	1262	1361	0.95
MN996532_Bat_CoV_RaTG13	1292	1391	0.94
MN996532_Bat_CoV_RaTG13	1322	1421	0.95
MN996532_Bat_CoV_RaTG13	1352	1451	0.94
MN996532_Bat_CoV_RaTG13	1382	1481	0.94
MN996532_Bat_CoV_RaTG13	1412	1511	0.95
MN996532_Bat_CoV_RaTG13	1442	1541	0.93
MN996532_Bat_CoV_RaTG13	1472	1571	0.91
MN996532_Bat_CoV_RaTG13	1502	1601	0.92
MN996532_Bat_CoV_RaTG13	1532	1631	0.93
MN996532_Bat_CoV_RaTG13	1562	1661	0.95
MN996532_Bat_CoV_RaTG13	1592	1691	0.97
MN996532_Bat_CoV_RaTG13	1622	1721	0.98
MN996532_Bat_CoV_RaTG13	1652	1751	0.99
MN996532_Bat_CoV_RaTG13	1682	1781	0.98
MN996532_Bat_CoV_RaTG13	1712	1811	0.93
