strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
Wuhan/Hu-1/2019	EPI_ISL_402125	MN908947.3	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al (https://dx.doi.org/10.1038/s41586-020-2008-3)
Taiwan/TSGH-37/2020	EPI_ISL_457733		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al
Wuhan/WIV07/2019	EPI_ISL_402130	MN996531.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/WH01/2019	EPI_ISL_406798	LR757998.1	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
Wuhan/WIV02/2019	EPI_ISL_402127	MN996527.1	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/IPBCAMS-WH-03/2019	EPI_ISL_403930	MT019531.1	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
Singapore/165/2020	EPI_ISL_462283		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
USA/CA-CDC-4/2020	EPI_ISL_408009	MT027063.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
USA/CA-CDC-3/2020	EPI_ISL_408008	MT027062.1	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)
Thailand/SI202769-NT/2020	EPI_ISL_437614	MT447164.1		Faculty of Medicine	Rodpan et al
Sichuan/SC-WCH4-288/2020	EPI_ISL_451390		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Beijing/DT-WH04/2020	EPI_ISL_452363		Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
India/MH-1-27/2020	EPI_ISL_413522		Indian Council of Medical Research - National Institute of Virology	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
Sichuan/SC-NC-072/2020	EPI_ISL_451331		West China Hospital of Sichuan University	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al
Australia/VIC14/2020	EPI_ISL_419734		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Japan/PG-0016/2020	EPI_ISL_479800		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0015/2020	EPI_ISL_479799		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Malaysia/6359/2020	EPI_ISL_501220		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al
Japan/PG-0167/2020	EPI_ISL_479877		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Japan/PG-0091/2020	EPI_ISL_479837		Sapporo City Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al A (https://www.medrxiv.org/content/10.1101/2020.07.01.20143958v1)
Wuhan/IME-WH02/2019	EPI_ISL_529214	MT291827.1	Beijing Institute of Microbiology and Epidemiology	Beijing Institute of Microbiology and Epidemiology	Fan et al
